Date,Closing Price
2017-12-01,6337.8701171875
2017-12-04,6263.7001953125
2017-12-05,6265.10986328125
2017-12-06,6293.0498046875
2017-12-07,6316.27978515625
2017-12-08,6344.56982421875
2017-12-11,6393.89013671875
2017-12-12,6383.64990234375
2017-12-13,6394.669921875
2017-12-14,6389.91015625
2017-12-15,6466.31982421875
2017-12-18,6513.27001953125
2017-12-19,6480.669921875
2017-12-20,6472.47998046875
2017-12-21,6472.68994140625
2017-12-22,6465.169921875
2017-12-26,6433.16015625
2017-12-27,6435.14990234375
2017-12-28,6441.419921875
2017-12-29,6396.419921875
2018-01-02,6511.33984375
2018-01-03,6575.7998046875
2018-01-04,6584.580078125
2018-01-05,6653.2900390625
2018-01-08,6676.6298828125
2018-01-09,6677.93994140625
2018-01-10,6662.66015625
2018-01-11,6708.490234375
2018-01-12,6758.5400390625
2018-01-16,6737.14013671875
2018-01-17,6810.27978515625
2018-01-18,6811.3798828125
2018-01-19,6834.330078125
2018-01-22,6906.27978515625
2018-01-23,6963.4599609375
2018-01-24,6919.35009765625
2018-01-25,6916.2998046875
2018-01-26,7022.97021484375
2018-01-29,6988.31982421875
2018-01-30,6930.72998046875
2018-01-31,6949.990234375
2018-02-01,6901.5
2018-02-02,6760.2900390625
2018-02-05,6495.919921875
2018-02-06,6665.97998046875
2018-02-07,6582.02001953125
2018-02-08,6306.10009765625
2018-02-09,6412.68017578125
2018-02-12,6523.85009765625
2018-02-13,6553.85986328125
2018-02-14,6675.02978515625
2018-02-15,6794.919921875
2018-02-16,6770.66015625
2018-02-20,6779.68994140625
2018-02-21,6759.259765625
2018-02-22,6761.85009765625
2018-02-23,6896.60009765625
2018-02-26,6989.10009765625
2018-02-27,6900.35009765625
2018-02-28,6854.419921875
2018-03-01,6750.5400390625
2018-03-02,6811.0400390625
2018-03-05,6881.27978515625
2018-03-06,6913.02001953125
2018-03-07,6929.39013671875
2018-03-08,6966.43017578125
2018-03-09,7101.18017578125
2018-03-12,7131.1201171875
2018-03-13,7046.509765625
2018-03-14,7040.97998046875
2018-03-15,7030.97021484375
2018-03-16,7019.9501953125
2018-03-19,6864.8798828125
2018-03-20,6885.919921875
2018-03-21,6853.4501953125
2018-03-22,6682.259765625
2018-03-23,6508.08984375
2018-03-26,6753.830078125
2018-03-27,6529.83984375
2018-03-28,6460.81005859375
2018-03-29,6581.1298828125
2018-04-02,6390.83984375
2018-04-03,6458.830078125
2018-04-04,6560.06005859375
2018-04-05,6594.83984375
2018-04-06,6433.2099609375
2018-04-09,6472.33984375
2018-04-10,6615.8701171875
2018-04-11,6583.43994140625
2018-04-12,6656.259765625
2018-04-13,6628.33984375
2018-04-16,6675.18017578125
2018-04-17,6816.3701171875
2018-04-18,6833.2099609375
2018-04-19,6774.89013671875
2018-04-20,6667.75
2018-04-23,6648.7998046875
2018-04-24,6509.0498046875
2018-04-25,6513.93994140625
2018-04-26,6649.64990234375
2018-04-27,6656.35009765625
2018-04-30,6605.56982421875
2018-05-01,6681.9599609375
2018-05-02,6644.47998046875
2018-05-03,6643.47998046875
2018-05-04,6769.1201171875
2018-05-07,6821.8701171875
2018-05-08,6815.47998046875
2018-05-09,6893.2099609375
2018-05-10,6963.5498046875
2018-05-11,6952.56005859375
2018-05-14,6964.3701171875
2018-05-15,6888.5400390625
2018-05-16,6929.97021484375
2018-05-17,6901.6298828125
2018-05-18,6866.25
2018-05-21,6905.52978515625
2018-05-22,6893.6201171875
2018-05-23,6953.6298828125
2018-05-24,6949.7001953125
2018-05-25,6960.919921875
2018-05-29,6926.5400390625
2018-05-30,6976.3701171875
2018-05-31,6967.72998046875
2018-06-01,7083.93017578125
2018-06-04,7143.56982421875
2018-06-05,7166.75
2018-06-06,7210.080078125
2018-06-07,7152.830078125
2018-06-08,7152.6201171875
2018-06-11,7168.47998046875
2018-06-12,7209.18017578125
2018-06-13,7205.259765625
2018-06-14,7279.58984375
2018-06-15,7255.759765625
2018-06-18,7251.41015625
2018-06-19,7228.0400390625
2018-06-20,7280.7001953125
2018-06-21,7217.490234375
2018-06-22,7197.509765625
2018-06-25,7038.169921875
2018-06-26,7068.2001953125
2018-06-27,6969.669921875
2018-06-28,7031.60009765625
2018-06-29,7040.7998046875
2018-07-02,7097.81982421875
2018-07-03,7014.5498046875
2018-07-05,7101.0498046875
2018-07-06,7207.330078125
2018-07-09,7276.0
2018-07-10,7282.60009765625
2018-07-11,7243.97998046875
2018-07-12,7366.25
2018-07-13,7375.81982421875
2018-07-16,7357.89990234375
2018-07-17,7403.89013671875
2018-07-18,7390.1298828125
2018-07-19,7352.35986328125
2018-07-20,7350.22998046875
2018-07-23,7371.77978515625
2018-07-24,7406.25
2018-07-25,7508.58984375
2018-07-26,7400.75
2018-07-27,7296.77978515625
2018-07-30,7193.10009765625
2018-07-31,7231.97998046875
2018-08-01,7272.89013671875
2018-08-02,7372.14990234375
2018-08-03,7395.490234375
2018-08-06,7438.990234375
2018-08-07,7462.64990234375
2018-08-08,7469.5498046875
2018-08-09,7466.9599609375
2018-08-10,7408.2998046875
2018-08-13,7401.169921875
2018-08-14,7447.169921875
2018-08-15,7354.66015625
2018-08-16,7374.2900390625
2018-08-17,7377.5400390625
2018-08-20,7371.419921875
2018-08-21,7397.22998046875
2018-08-22,7424.60009765625
2018-08-23,7413.83984375
2018-08-24,7485.39990234375
2018-08-27,7559.1298828125
2018-08-28,7570.25
2018-08-29,7660.18017578125
2018-08-30,7642.669921875
2018-08-31,7654.5498046875
2018-09-04,7622.31982421875
2018-09-05,7523.259765625
2018-09-06,7453.169921875
2018-09-07,7430.259765625
2018-09-10,7447.68017578125
2018-09-11,7507.8701171875
2018-09-12,7488.06005859375
2018-09-13,7561.68994140625
2018-09-14,7545.5
2018-09-17,7434.72998046875
2018-09-18,7494.39990234375
2018-09-19,7490.31982421875
2018-09-20,7569.02978515625
2018-09-21,7531.06982421875
2018-09-24,7548.75
2018-09-25,7563.18994140625
2018-09-26,7563.08984375
2018-09-27,7629.56982421875
2018-09-28,7627.64990234375
2018-10-01,7645.4501953125
2018-10-02,7628.27978515625
2018-10-03,7637.43017578125
2018-10-04,7490.0
2018-10-05,7399.009765625
2018-10-08,7352.81982421875
2018-10-09,7371.6201171875
2018-10-10,7044.5
2018-10-11,6964.02978515625
2018-10-12,7157.2099609375
2018-10-15,7068.669921875
2018-10-16,7276.43017578125
2018-10-17,7278.6298828125
2018-10-18,7116.08984375
2018-10-19,7107.22998046875
2018-10-22,7141.2099609375
2018-10-23,7118.669921875
2018-10-24,6789.14990234375
2018-10-25,7016.39013671875
2018-10-26,6852.39990234375
2018-10-29,6713.89990234375
2018-10-30,6810.1201171875
2018-10-31,6967.10009765625
2018-11-01,7069.169921875
2018-11-02,6965.2900390625
2018-11-05,6937.08984375
2018-11-06,6988.85009765625
2018-11-07,7203.1298828125
2018-11-08,7158.58984375
2018-11-09,7039.14990234375
2018-11-12,6829.10009765625
2018-11-13,6830.91015625
2018-11-14,6769.8701171875
2018-11-15,6890.4501953125
2018-11-16,6867.02001953125
2018-11-19,6642.919921875
2018-11-20,6526.9599609375
2018-11-21,6575.66015625
2018-11-23,6527.35009765625
2018-11-26,6678.33984375
2018-11-27,6701.0400390625
2018-11-28,6913.330078125
2018-11-29,6892.39990234375
2018-11-30,6949.009765625
2018-12-03,7062.1298828125
2018-12-04,6795.2099609375
2018-12-06,6838.85009765625
2018-12-07,6613.27978515625
2018-12-10,6682.740234375
2018-12-11,6704.240234375
2018-12-12,6763.9599609375
2018-12-13,6767.97021484375
2018-12-14,6594.9599609375
2018-12-17,6448.39013671875
2018-12-18,6491.52001953125
2018-12-19,6342.97021484375
2018-12-20,6243.18994140625
2018-12-21,6046.56005859375
2018-12-24,5899.35009765625
2018-12-26,6262.77001953125
2018-12-27,6288.2998046875
2018-12-28,6285.27001953125
2018-12-31,6329.97021484375
2019-01-02,6360.8701171875
2019-01-03,6147.1298828125
2019-01-04,6422.669921875
2019-01-07,6488.25
2019-01-08,6551.85009765625
2019-01-09,6600.68994140625
2019-01-10,6620.93994140625
2019-01-11,6601.39990234375
2019-01-14,6541.0400390625
2019-01-15,6669.64013671875
2019-01-16,6668.56005859375
2019-01-17,6718.4501953125
2019-01-18,6784.60986328125
2019-01-22,6646.81005859375
2019-01-23,6658.759765625
2019-01-24,6702.5498046875
2019-01-25,6787.3701171875
2019-01-28,6697.08984375
2019-01-29,6632.7900390625
2019-01-30,6807.91015625
2019-01-31,6906.83984375
2019-02-01,6875.52001953125
2019-02-04,6959.9599609375
2019-02-05,7023.52001953125
2019-02-06,6997.6201171875
2019-02-07,6904.97998046875
2019-02-08,6913.1298828125
2019-02-11,6909.18017578125
2019-02-12,7014.669921875
2019-02-13,7015.8798828125
2019-02-14,7022.419921875
