DATE,GOLD,WHEAT,NIKKEI,COPPER
01/06/2012,1849.8,982.5,5030,3.36799999999999
04/06/2012,1841.6,998.25,4900,3.36149999999999
05/06/2012,1844.6,982.75,5020,3.34349999999999
06/06/2012,1861.9,990.75,5140,3.43349999999999
07/06/2012,1815.7,1008,5220,3.42499999999999
08/06/2012,1819.1,998.5,5223,3.33949999999999
11/06/2012,1824.5,997.5,5388,3.39749999999999
12/06/2012,1841.5,985.25,5323,3.38999999999999
13/06/2012,1847.1,985.25,5373,3.39399999999999
14/06/2012,1847.3,992.25,5363,3.40899999999999
15/06/2012,1855.8,977,5348,3.43799999999999
18/06/2012,1854.7,998.25,5518,3.44999999999999
19/06/2012,1850.9,1019.25,5438,3.48799999999999
20/06/2012,1843.5,1031.75,5528,3.44199999999999
21/06/2012,1793.2,1026,5603,3.35249999999999
22/06/2012,1794.6,1032.5,5583,3.36049999999999
25/06/2012,1816.1,1085,5513,3.3705
26/06/2012,1802.6,1092,5473,3.36749999999999
27/06/2012,1806.1,1098,5523,3.40399999999999
28/06/2012,1778.1,1092.5,5663,3.38049999999999
29/06/2012,1831.9,1102.5,5788,3.5445
02/07/2012,1825.4,1116.5,5808,3.51949999999999
03/07/2012,1849.5,1139.5,5863,3.59049999999999
04/07/2012,1849.5,1139.5,5863,3.59049999999999
05/07/2012,1837.1,1172.75,5878,3.5435
06/07/2012,1806.6,1147.5,5808,3.45999999999999
09/07/2012,1816.8,1169.5,5668,3.482
10/07/2012,1807.5,1161,5648,3.44849999999999
11/07/2012,1803.4,1164,5643,3.49799999999999
12/07/2012,1793,1185.5,5493,3.46549999999999
13/07/2012,1819.7,1188.25,5493,3.55449999999999
16/07/2012,1819.3,1223.5,5493,3.53549999999999
17/07/2012,1817.2,1223,5543,3.50599999999999
18/07/2012,1798.5,1238.25,5528,3.52449999999999
19/07/2012,1808.1,1260.25,5583,3.58499999999999
20/07/2012,1810.5,1274,5463,3.49849999999999
23/07/2012,1805.1,1244.75,5298,3.43049999999999
24/07/2012,1803.9,1214,5263,3.40349999999999
25/07/2012,1835.8,1240.75,5143,3.42499999999999
26/07/2012,1842.8,1223,5233,3.44399999999999
27/07/2012,1845.7,1237,5353,3.47649999999999
30/07/2012,1847.4,1253,5413,3.4665
31/07/2012,1838.1,1228.25,5473,3.46799999999999
01/08/2012,1830.8,1219.5,5423,3.42549999999999
02/08/2012,1814.3,1205.25,5428,3.34099999999999
03/08/2012,1832.8,1229.5,5343,3.41799999999999
06/08/2012,1839.8,1232,5533,3.43949999999999
07/08/2012,1836.4,1228.5,5593,3.49099999999999
08/08/2012,1839.6,1239.25,5673,3.47199999999999
09/08/2012,1843.8,1252.75,5773,3.47549999999999
10/08/2012,1846.4,1227,5703,3.44299999999999
13/08/2012,1836.3,1201.5,5703,3.40399999999999
14/08/2012,1826.1,1184,5763,3.40949999999999
15/08/2012,1830.3,1192,5753,3.39999999999999
16/08/2012,1842.8,1207.5,5913,3.43299999999999
17/08/2012,1843,1220.25,6003,3.47
20/08/2012,1846.6,1228.5,6023,3.4215
21/08/2012,1866.4,1247.75,5983,3.5035
22/08/2012,1864,1242.75,5943,3.50499999999999
23/08/2012,1896.3,1220.5,6013,3.54299999999999
24/08/2012,1896.4,1214.25,5893,3.53399999999999
27/08/2012,1899,1207,5913,3.52699999999999
28/08/2012,1893.1,1201.25,5883,3.51299999999999
29/08/2012,1886.4,1231.5,5913,3.49299999999999
30/08/2012,1880.5,1228.75,5803,3.49099999999999
31/08/2012,1911,1215.25,5653,3.50449999999999
03/09/2012,1911,1215.25,5653,3.50449999999999
04/09/2012,1919.3,1214.5,5613,3.51649999999999
05/09/2012,1917.3,1193.5,5503,3.57649999999999
06/09/2012,1928.9,1217.5,5523,3.56399999999999
07/09/2012,1963.7,1230.75,5713,3.69249999999999
10/09/2012,1954.9,1215.5,5703,3.73599999999999
11/09/2012,1958,1209.5,5638,3.74449999999999
12/09/2012,1956.8,1215.75,5798,3.73999999999999
13/09/2012,1995.2,1227.75,5828,3.75749999999999
14/09/2012,1995.8,1250,5988,3.87999999999999
17/09/2012,1993.7,1236.75,5988,3.83949999999999
18/09/2012,1994.4,1243.25,5978,3.83449999999999
19/09/2012,1995,1242.75,6073,3.86149999999999
20/09/2012,1993.5,1239.75,5903,3.80649999999999
21/09/2012,2001.3,1239,5953,3.83649999999999
24/09/2012,1987.9,1246.5,5898,3.77899999999999
25/09/2012,1989.6,1239,5918,3.806
26/09/2012,1976.4,1225,5818,3.75749999999999
27/09/2012,2003.3,1215.75,5868,3.79149999999999
28/09/2012,1996.8,1243.75,5778,3.80549999999999
01/10/2012,2006.2,1234.5,5688,3.83299999999999
02/10/2012,1998.5,1230.75,5688,3.8485
03/10/2012,2002.7,1220.75,5653,3.83149999999999
04/10/2012,2019.4,1227.5,5748,3.83349999999999
05/10/2012,2003.7,1224,5783,3.82549999999999
08/10/2012,1998.6,1225.75,5783,3.82549999999999
09/10/2012,1987.9,1225.75,5668,3.76549999999999
10/10/2012,1988,1221.25,5498,3.76549999999999
11/10/2012,1993.5,1240.75,5463,3.79899999999999
12/10/2012,1982.6,1222,5478,3.7505
15/10/2012,1960.5,1215.75,5493,3.74899999999999
16/10/2012,1969.2,1216,5623,3.7475
17/10/2012,1975.9,1219,5723,3.7955
18/10/2012,1967.6,1219.5,5898,3.7905
19/10/2012,1946.9,1229.25,5908,3.685
22/10/2012,1949.2,1239.5,5933,3.66949999999999
23/10/2012,1932.3,1235.25,5923,3.61699999999999
24/10/2012,1924.5,1233.25,5873,3.61549999999999
25/10/2012,1935.9,1250,5978,3.59799999999999
26/10/2012,1934.8,1248,5848,3.59749999999999
29/10/2012,1931.6,1247,5828,3.54199999999999
30/10/2012,1935,1248.5,5763,3.55349999999999
31/10/2012,1942,1253,5828,3.56499999999999
01/11/2012,1938.4,1259,5868,3.59949999999999
02/11/2012,1898.1,1258.75,5968,3.52899999999999
05/11/2012,1906.1,1259.5,5928,3.51749999999999
06/11/2012,1937.9,1262.25,5903,3.55349999999999
07/11/2012,1936.9,1274.5,5868,3.48899999999999
08/11/2012,1948.9,1275,5748,3.51699999999999
09/11/2012,1953.8,1271.75,5658,3.49299999999999
12/11/2012,1953.8,1264.5,5588,3.51549999999999
13/11/2012,1947.7,1241.25,5568,3.51849999999999
14/11/2012,1953,1242.5,5568,3.50099999999999
15/11/2012,1936.7,1237,5718,3.50999999999999
16/11/2012,1937.6,1235.5,5908,3.49899999999999
19/11/2012,1957.3,1230.25,6028,3.57499999999999
20/11/2012,1946.5,1232.5,6018,3.56399999999999
21/11/2012,1951.1,1234.5,6118,3.5435
22/11/2012,1951.1,1234.5,6118,3.5435
23/11/2012,1974.3,1237.75,6118,3.57549999999999
26/11/2012,1972.5,1242.25,6298,3.58399999999999
27/11/2012,1965.2,1264,6328,3.58399999999999
28/11/2012,1939.4,1267.5,6198,3.57199999999999
29/11/2012,1950.1,1268.25,6308,3.63599999999999
30/11/2012,1933.3,1266,6348,3.677
03/12/2012,1941.7,1253.25,6358,3.6855
04/12/2012,1916.4,1249,6328,3.6825
05/12/2012,1914.4,1250,6378,3.7135
06/12/2012,1922.4,1260,6438,3.67149999999999
07/12/2012,1926.1,1260.25,6458,3.69
10/12/2012,1935,1254.75,6438,3.733
11/12/2012,1930.2,1234.5,6428,3.7135
12/12/2012,1938.5,1222.5,6473,3.743
13/12/2012,1917.4,1220.25,6653,3.687
14/12/2012,1917.6,1223.75,6678,3.71
17/12/2012,1918.8,1224.75,6733,3.693
18/12/2012,1891.3,1220,6858,3.6805
19/12/2012,1888.3,1220.25,7088,3.6325
20/12/2012,1866.5,1210.75,6943,3.56299999999999
21/12/2012,1880.7,1201.75,6858,3.59399999999999
24/12/2012,1880.1,1203.75,6858,3.573
25/12/2012,1880.1,1203.75,6858,3.573
26/12/2012,1881.3,1187.25,7153,3.6245
27/12/2012,1884.3,1185.5,7278,3.628
28/12/2012,1876.5,1190,7303,3.6165
31/12/2012,1896.4,1189.75,7303,3.67949999999999
01/01/2013,1896.4,1189.75,7303,3.67949999999999
02/01/2013,1909.4,1172.75,7303,3.763
03/01/2013,1895.2,1173.5,7303,3.744
04/01/2013,1869.5,1156.5,7593,3.72049999999999
07/01/2013,1866.9,1164,7538,3.705
08/01/2013,1882.8,1167.5,7388,3.69899999999999
09/01/2013,1876.1,1155.5,7478,3.6975
10/01/2013,1898.6,1154.75,7568,3.73599999999999
11/01/2013,1881.2,1154.75,7733,3.681
14/01/2013,1890,1167.75,7733,3.661
15/01/2013,1904.5,1170.5,7798,3.6645
16/01/2013,1903.8,1189,7488,3.6335
17/01/2013,1911.4,1186.25,7533,3.689
18/01/2013,1907.6,1195.75,7833,3.70599999999999
21/01/2013,1907.6,1195.75,7833,3.70599999999999
22/01/2013,1913.8,1186.75,7623,3.732
23/01/2013,1907.3,1183.25,7368,3.7115
24/01/2013,1890.5,1179.25,7523,3.7035
25/01/2013,1877.2,1180,7833,3.67899999999999
28/01/2013,1873.5,1184,7728,3.6885
29/01/2013,1881.4,1182.25,7798,3.7185
30/01/2013,1900.3,1180.5,8018,3.777
31/01/2013,1880.7,1191,8023,3.75899999999999
01/02/2013,1889.3,1173,8093,3.8115
04/02/2013,1895.1,1174.75,8173,3.7955
05/02/2013,1892.2,1165,7968,3.797
06/02/2013,1897.5,1165.5,8348,3.7675
07/02/2013,1890,1162.75,8293,3.754
08/02/2013,1885.6,1153.25,8055,3.7865
11/02/2013,1867.8,1140.5,8055,3.7495
12/02/2013,1868.3,1139.25,8255,3.77099999999999
13/02/2013,1863.8,1133.75,8145,3.7695
14/02/2013,1854.2,1138.25,8215,3.76449999999999
15/02/2013,1828.2,1138,8055,3.764
18/02/2013,1828.2,1138,8055,3.764
19/02/2013,1822.9,1143.5,8255,3.6765
20/02/2013,1796.7,1137.5,8325,3.635
21/02/2013,1797.3,1119,8205,3.57999999999999
22/02/2013,1791.5,1121.5,8295,3.55999999999999
25/02/2013,1805.3,1102.5,8535,3.57
26/02/2013,1834.2,1095.5,8295,3.59349999999999
27/02/2013,1814.4,1109,8145,3.57199999999999
28/02/2013,1796.8,1108.5,8385,3.55449999999999
01/03/2013,1791,1111.5,8455,3.54199999999999
04/03/2013,1791.1,1107.75,8535,3.50849999999999
05/03/2013,1793.6,1093.75,8575,3.54199999999999
06/03/2013,1793.6,1080.75,8815,3.50149999999999
07/03/2013,1793.8,1089.5,8855,3.51199999999999
08/03/2013,1795.6,1087.25,8958,3.53199999999999
11/03/2013,1796.7,1090,9023,3.52599999999999
12/03/2013,1810.4,1093,8988,3.52199999999999
13/03/2013,1807.1,1091.5,8923,3.533
14/03/2013,1809.4,1105.5,9058,3.54199999999999
15/03/2013,1811.3,1108,9218,3.55199999999999
18/03/2013,1823.3,1101.75,8903,3.43799999999999
19/03/2013,1830,1102,9153,3.4155
20/03/2013,1826.2,1111.25,9153,3.45699999999999
21/03/2013,1832.5,1113.25,9298,3.44549999999999
22/03/2013,1824.8,1115.25,9043,3.47649999999999
25/03/2013,1823.2,1116.5,9243,3.482
26/03/2013,1814.4,1116,9103,3.45449999999999
27/03/2013,1824.9,1122.25,9243,3.46199999999999
28/03/2013,1813.5,1082.25,9123,3.41399999999999
29/03/2013,1813.5,1082.25,9123,3.41399999999999
01/04/2013,1818.7,1073.75,8918,3.38699999999999
02/04/2013,1793.7,1067.75,8748,3.39099999999999
03/04/2013,1771.3,1077.75,9103,3.34449999999999
04/04/2013,1770.2,1087.5,9443,3.34199999999999
05/04/2013,1793.7,1094,9538,3.36199999999999
08/04/2013,1790.3,1107,9943,3.38299999999999
09/04/2013,1804.5,1104,9933,3.45349999999999
10/04/2013,1776.6,1097.75,10023,3.43199999999999
11/04/2013,1782.7,1092.75,10218,3.44549999999999
12/04/2013,1719.2,1107.75,10233,3.43199999999999
15/04/2013,1578.9,1098.25,10073,3.31199999999999
16/04/2013,1605.2,1091.5,10048,3.31549999999999
17/04/2013,1600.5,1096.5,10128,3.19449999999999
18/04/2013,1610.3,1096.5,9998,3.12199999999999
19/04/2013,1613.4,1100.5,10093,3.18199999999999
22/04/2013,1639,1093.25,10308,3.09199999999999
23/04/2013,1626.6,1090.75,10263,3.09599999999999
24/04/2013,1641.5,1083.25,10568,3.17199999999999
25/04/2013,1679.8,1095,10648,3.23449999999999
26/04/2013,1671.4,1084.75,10678,3.178
29/04/2013,1685.2,1093,10678,3.18199999999999
30/04/2013,1689.9,1110.25,10603,3.17949999999999
01/05/2013,1664,1114,10548,3.16199999999999
02/05/2013,1685.4,1117.75,10443,3.09199999999999
03/05/2013,1682,1122.25,10443,3.30649999999999
06/05/2013,1685.8,1097.75,10443,3.3025
07/05/2013,1666.6,1104.75,10893,3.27199999999999
08/05/2013,1691.5,1101.75,10988,3.32199999999999
09/05/2013,1686.4,1117.25,10958,3.33249999999999
10/05/2013,1654.4,1099,11340,3.34199999999999
13/05/2013,1652.1,1104,11500,3.35149999999999
14/05/2013,1642.3,1104.5,11480,3.28
15/05/2013,1614,1087.5,11770,3.25699999999999
16/05/2013,1604.7,1082,11750,3.2865
17/05/2013,1582.5,1082,11870,3.32199999999999
20/05/2013,1601.9,1076.25,12070,3.35199999999999
21/05/2013,1595.4,1072.5,12080,3.35199999999999
22/05/2013,1585.2,1075.25,12350,3.36199999999999
23/05/2013,1609.6,1081.75,11270,3.28199999999999
24/05/2013,1604.4,1087,11290,3.31199999999999
27/05/2013,1604.4,1087,11290,3.31199999999999
28/05/2013,1596.7,1086.75,11040,3.30199999999999
29/05/2013,1609.1,1096.25,10880,3.28899999999999
30/05/2013,1629.3,1093.75,10290,3.28199999999999
31/05/2013,1610.3,1089.75,10380,3.28449999999999
03/06/2013,1629.2,1106,9920,3.32249999999999
04/06/2013,1614.5,1100.75,10330,3.32199999999999
05/06/2013,1615.8,1101.25,9620,3.36349999999999
06/06/2013,1633.1,1089.5,9500,3.31099999999999
07/06/2013,1600.3,1088,9360,3.26049999999999
10/06/2013,1603.3,1082.75,10300,3.23299999999999
11/06/2013,1594.3,1080,10080,3.21199999999999
12/06/2013,1609.3,1074.25,9985,3.16199999999999
13/06/2013,1595.1,1072.25,9140,3.17699999999999
14/06/2013,1604.9,1070.5,9470,3.20199999999999
17/06/2013,1600.4,1066.5,9760,3.18949999999999
18/06/2013,1584.2,1074.5,9705,3.17199999999999
19/06/2013,1591.3,1096,9965,3.13299999999999
20/06/2013,1503.5,1086.75,9720,3.05399999999999
21/06/2013,1509.3,1086.5,10065,3.08749999999999
24/06/2013,1494.4,1071,9725,3.00199999999999
25/06/2013,1492.4,1076,9670,3.03199999999999
26/06/2013,1447.1,1069.25,9485,3.033
27/06/2013,1428.9,1062.75,9965,3.0445
28/06/2013,1441,1058.25,10385,3.04199999999999
01/07/2013,1473,1038.75,10565,3.14699999999999
02/07/2013,1460.7,1040.25,10850,3.13399999999999
03/07/2013,1469.2,1047,10730,3.14849999999999
04/07/2013,1469.2,1047,10730,3.14849999999999
05/07/2013,1430,1039.5,11050,3.08399999999999
08/07/2013,1452.2,1043.25,10815,3.03399999999999
09/07/2013,1463.2,1059.5,11165,3.03849999999999
10/07/2013,1464.7,1061.75,11150,3.06499999999999
11/07/2013,1497.2,1064.25,11185,3.15149999999999
12/07/2013,1494.9,1062.75,11190,3.12899999999999
