Date,A,B,C,D
2019-01-02,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-01-03,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-01-04,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-01-07,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-01-08,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-01-09,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-01-10,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-01-11,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-01-14,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-01-15,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-01-16,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-01-17,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-01-18,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-01-22,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-01-23,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-01-24,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-01-25,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-01-28,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-01-29,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-01-30,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-01-31,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-02-01,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-02-04,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-02-05,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-02-06,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-02-07,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-02-08,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-02-11,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-02-12,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-02-13,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-02-14,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-02-15,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-02-19,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-02-20,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-02-21,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-02-22,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-02-25,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-02-26,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-02-27,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-02-28,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-03-01,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-03-04,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-03-05,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-03-06,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-03-07,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-03-08,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-03-11,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-03-12,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-03-13,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-03-14,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-03-15,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-03-18,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-03-19,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-03-20,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-03-21,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
2019-03-22,4568.894635857669,9049.297569888533,8728.004621717375,7566.721211590262
