Date,BasketValues
2019-01-02,1000.0
2019-01-03,952.8551704997957
2019-01-04,996.2546664869787
2019-01-07,997.3383192147464
2019-01-08,1013.4682566059809
2019-01-09,1027.1966146811249
2019-01-10,1026.7841093448917
2019-01-11,1021.4430741386345
2019-01-14,1022.0784993633652
2019-01-15,1045.948127986186
2019-01-16,1048.7811225361543
2019-01-17,1056.3569175743937
2019-01-18,1069.9466045544887
2019-01-22,1050.865696631614
2019-01-23,1045.0217349122804
2019-01-24,1045.9917452695665
2019-01-25,1067.1403793144268
2019-01-28,1054.1036182770313
2019-01-29,1036.7060616768113
2019-01-30,1073.962023355656
2019-01-31,1115.840453056333
2019-02-01,1107.3182928431827
2019-02-04,1132.2226369675084
2019-02-05,1143.3075189948295
2019-02-06,1137.9762801599034
2019-02-07,1118.2662443607937
2019-02-08,1120.6436116885145
2019-02-11,1115.6834388696345
2019-02-12,1122.0767248589273
2019-02-13,1119.542936928739
2019-02-14,1119.4108443536636
2019-02-15,1124.7115961669206
2019-02-19,1126.4371410634092
2019-02-20,1128.1892321178377
2019-02-21,1126.7034283050846
2019-02-22,1141.1273465969027
2019-02-25,1152.2552478603338
2019-02-26,1152.0145829274568
2019-02-27,1148.5276058352201
2019-02-28,1142.791993321722
2019-03-01,1145.5121800895638
2019-03-04,1158.5408496366522
2019-03-05,1166.6791125956804
2019-03-06,1166.6127739790666
2019-03-07,1148.450198881066
2019-03-08,1150.3286341159119
2019-03-11,1174.2555324594261
2019-03-12,1179.7240320689727
2019-03-13,1188.1311083499381
2019-03-14,1185.145393057107
2019-03-15,1183.6208813042374
2019-03-18,1179.497327523123
2019-03-19,1177.7708721666108
2019-03-20,1185.8784249520033
2019-03-21,1207.9728082723473
2019-03-22,1182.5361931513453
2019-03-25,1184.4640342315838
2019-03-26,1188.9947823321274
2019-03-27,1182.9526661295433
2019-03-28,1183.29411541659
2019-03-29,1191.475513650751
2019-04-01,1206.7191449873499
2019-04-02,1224.2864756037159
2019-04-03,1228.5003880791228
2019-04-04,1234.3532446358427
2019-04-05,1238.803006424689
2019-04-08,1241.9771601641473
2019-04-09,1241.3745739828132
2019-04-10,1249.0652208751928
2019-04-11,1248.2417410252172
2019-04-12,1257.939653245767
2019-04-15,1258.4802969042282
2019-04-16,1258.9779927352085
2019-04-17,1268.248086931581
2019-04-18,1271.5601664385204
2019-04-22,1281.015579417028
2019-04-23,1297.7102921203855
2019-04-24,1291.6625212469692
2019-04-25,1329.5949324080739
2019-04-26,1330.5097840622698
2019-04-29,1338.9222070643532
2019-04-30,1331.2874463504745
2019-05-01,1336.2526757929165
2019-05-02,1327.033397762365
2019-05-03,1349.1763166354317
2019-05-06,1337.3083497271189
2019-05-07,1308.4614682338988
2019-05-08,1306.7194591853186
2019-05-09,1300.8163264905368
2019-05-10,1301.2688251222135
2019-05-13,1249.6134026070831
2019-05-14,1259.077259656005
2019-05-15,1278.6008296718715
2019-05-16,1289.8787649284882
2019-05-17,1279.3145767738195
2019-05-20,1258.9179380779722
2019-05-21,1272.6892127393219
2019-05-22,1269.347677172799
2019-05-23,1245.4103977998009
2019-05-24,1246.8288097186578
2019-05-28,1253.258799743408
2019-05-29,1242.8787610545698
2019-05-30,1248.863290660668
2019-05-31,1216.9054297497175
2019-06-03,1173.941838813979
2019-06-04,1206.7184309010565
2019-06-05,1219.9008610791718
2019-06-06,1231.9320948922862
2019-06-07,1263.0470795843291
2019-06-10,1271.9473886569435
2019-06-11,1282.1979233335182
2019-06-12,1270.8391178042264
2019-06-13,1282.2163155186004
2019-06-14,1291.381206951866
2019-06-17,1310.336667765229
2019-06-18,1325.9131391860053
2019-06-19,1324.6759802204529
2019-06-20,1340.3154563674623
2019-06-21,1343.0924710151035
2019-06-24,1348.4741064901536
2019-06-25,1318.6440575997
2019-06-26,1322.7634295129615
2019-06-27,1329.7216380946759
2019-06-28,1338.3185542166182
2019-07-01,1351.1470787649143
2019-07-02,1357.8273247940633
2019-07-03,1370.9293443925546
2019-07-05,1367.9464631296985
2019-07-08,1358.1542245728913
2019-07-09,1367.6856431112035
2019-07-10,1382.4054787628152
2019-07-11,1378.5001006593893
2019-07-12,1393.9093330703597
2019-07-15,1393.15844901814
2019-07-16,1387.3805715221783
2019-07-17,1376.506697531381
2019-07-18,1381.6010560907825
2019-07-19,1370.6489762617907
2019-07-22,1391.2598274564007
2019-07-23,1399.1407694197694
2019-07-24,1411.008191837284
